Engineering_Branch,Student_Status,CGPA,Python_Proficiency,CPP_Proficiency,Java_Proficiency,MATLAB_Proficiency,DSA_Understanding,Database_SQL_Understanding,OOP_Understanding,OS_Understanding,Technical_Tools,Project_Count,Project_Domain,Internship_Experience,Preparation_Domain,Confidence_Level,Job_Role
Electrical,Alumni (Graduated),8.25,4,4,3,3,1,3,3,3,Circuit design tools; Embedded systems / microcontrollers,5+,Robotics / Embedded Systems,Electronics / Embedded Internship,Embedded Systems / Electronics,2.0,Embedded Systems Engineer
ECE,4th year student,6.58,4,3,3,1,3,4,3,3,CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),3-4,Mixed domains,Data Science / AI Internship,Software Development,4.0,Software Developer
AI,4th year student,9.21,3,5,3,2,4,4,4,4,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,3-4,Data Science / AI,Core Engineering Internship,Data Science / AI,4.0,Data Scientist
ECE,4th year student,6.56,4,4,2,4,3,3,1,4,Circuit design tools; Embedded systems / microcontrollers; MATLAB / Simulink,3-4,Robotics / Embedded Systems,Electronics / Embedded Internship,Embedded Systems / Electronics,2.0,Embedded Systems Engineer
AI,Alumni (Graduated),6.46,4,4,4,1,4,3,4,3,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),3-4,Core Engineering,Software Development Internship,Embedded Systems / Electronics,3.0,Software Developer
Mechanical,4th year student,8.97,1,3,1,3,1,1,1,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; Machine Learning / Deep Learning,1-2,Core Engineering,Core Engineering Internship,Core Engineering,4.0,Civil Engineer
AI,4th year student,7.26,5,4,4,2,3,4,5,4,Data Analysis (Python / Excel / Pandas),3-4,Software Development,Software Development Internship,Software Development,5.0,Software Developer
Civil,4th year student,6.83,2,2,2,3,1,2,3,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools,3-4,Software Development,Core Engineering Internship,Core Engineering,5.0,Civil Engineer
AI,4th year student,8.11,5,3,4,4,4,4,4,2,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers; Machine Learning / Deep Learning,5+,Data Science / AI,Data Science / AI Internship,Data Science / AI,4.0,Data Scientist
AI,4th year student,7.57,5,3,3,4,4,4,4,4,Data Analysis (Python / Excel / Pandas); Machine Learning / Deep Learning,3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,4.0,Machine Learning Engineer
ECE,Alumni (Graduated),8.5,5,4,2,2,3,4,2,3,Data Analysis (Python / Excel / Pandas); Embedded systems / microcontrollers; Machine Learning / Deep Learning,3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,3.0,Machine Learning Engineer
Metallurgy,4th year student,6.49,1,2,1,4,2,1,1,3,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); MATLAB / Simulink,1-2,Core Engineering,Core Engineering Internship,Core Engineering,4.0,Mechanical Design Engineer
ECE,Alumni (Graduated),7.04,5,4,3,3,3,4,4,2,Circuit design tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,4.0,Data Scientist
Electrical,Alumni (Graduated),6.99,3,3,3,1,4,3,2,5,Data Analysis (Python / Excel / Pandas); MATLAB / Simulink; Machine Learning / Deep Learning,5+,Software Development,Software Development Internship,Software Development,3.0,DevOps Engineer
ECE,Alumni (Graduated),8.77,4,4,1,3,4,4,3,3,Data Analysis (Python / Excel / Pandas); Machine Learning / Deep Learning,5+,Data Science / AI,Data Science / AI Internship,Data Science / AI,5.0,Machine Learning Engineer
Mechanical,Alumni (Graduated),6.87,1,2,1,3,1,1,1,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD),1-2,Robotics / Embedded Systems,Core Engineering Internship,Core Engineering,3.0,Civil Engineer
Electrical,4th year student,7.96,3,5,4,2,5,4,3,4,ANSYS / Simulation tools; Circuit design tools; Data Analysis (Python / Excel / Pandas); Embedded systems / microcontrollers,5+,Software Development,Core Engineering Internship,Software Development,4.0,Software Developer
Metallurgy,4th year student,6.22,2,1,1,2,1,2,4,3,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD),1-2,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Manufacturing Engineer
ECE,Alumni (Graduated),8.82,2,3,3,4,2,3,3,5,Circuit design tools; Embedded systems / microcontrollers; MATLAB / Simulink,3-4,Robotics / Embedded Systems,Electronics / Embedded Internship,Embedded Systems / Electronics,3.0,Embedded Systems Engineer
CSE,Alumni (Graduated),7.38,3,2,2,2,3,5,4,3,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),0,Data Science / AI,No internship,Data Science / AI,3.0,Data Analyst
Civil,4th year student,7.99,2,2,1,4,2,1,2,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); MATLAB / Simulink; Machine Learning / Deep Learning,1-2,Core Engineering,No internship,Core Engineering,3.0,Civil Engineer
Chemical,Alumni (Graduated),8.02,2,2,1,3,1,3,2,3,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools,3-4,Data Science / AI,Core Engineering Internship,Core Engineering,2.0,Manufacturing Engineer
ECE,4th year student,7.92,4,4,4,1,4,2,5,3,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Embedded systems / microcontrollers; Machine Learning / Deep Learning,5+,Software Development,No internship,Software Development,4.0,Software Developer
ECE,4th year student,8.65,4,1,2,3,3,3,4,1,Circuit design tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,5+,Data Science / AI,Data Science / AI Internship,Data Science / AI,5.0,Data Scientist
CSE,Alumni (Graduated),7.84,3,4,4,2,5,4,2,3,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),1-2,Software Development,Software Development Internship,Software Development,4.0,Software Developer
ECE,4th year student,8.55,3,5,2,1,5,5,4,2,Data Analysis (Python / Excel / Pandas),3-4,Software Development,Data Science / AI Internship,Software Development,4.0,Software Developer
ECE,Alumni (Graduated),7.51,3,5,4,2,3,4,4,4,Data Analysis (Python / Excel / Pandas); Embedded systems / microcontrollers; MATLAB / Simulink,5+,Software Development,No internship,Software Development,3.0,DevOps Engineer
AI,Alumni (Graduated),7.31,4,5,3,2,4,5,5,4,Data Analysis (Python / Excel / Pandas); Embedded systems / microcontrollers,3-4,Data Science / AI,Software Development Internship,Software Development,4.0,Software Developer
ECE,4th year student,6.84,2,2,5,2,5,3,4,4,Data Analysis (Python / Excel / Pandas); MATLAB / Simulink; Machine Learning / Deep Learning,3-4,Software Development,Software Development Internship,Software Development,3.0,Software Developer
ECE,Alumni (Graduated),8.42,4,5,3,2,5,3,5,3,Data Analysis (Python / Excel / Pandas),3-4,Software Development,Software Development Internship,Software Development,4.0,Software Developer
Electrical,4th year student,5.87,5,2,2,3,4,4,4,3,Circuit design tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),1-2,Data Science / AI,Data Science / AI Internship,Data Science / AI,3.0,Data Analyst
Mechanical,4th year student,6.25,2,2,2,4,1,1,1,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers,1-2,Software Development,Core Engineering Internship,Core Engineering,5.0,Civil Engineer
AI,Alumni (Graduated),7.9,1,4,4,2,4,4,2,4,Data Analysis (Python / Excel / Pandas); Embedded systems / microcontrollers,3-4,Software Development,Software Development Internship,Software Development,4.0,Software Developer
CSE,Alumni (Graduated),6.4,5,4,1,1,3,4,3,3,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,1.0,Data Analyst
ECE,Alumni (Graduated),7.1,3,3,3,2,5,3,5,4,Circuit design tools,5+,Software Development,Software Development Internship,Software Development,5.0,Software Developer
AI,4th year student,8.89,5,2,1,4,5,4,4,2,Data Analysis (Python / Excel / Pandas); Machine Learning / Deep Learning,3-4,Mixed domains,Data Science / AI Internship,Data Science / AI,5.0,Machine Learning Engineer
Civil,Alumni (Graduated),8.23,2,1,1,3,1,1,2,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); Embedded systems / microcontrollers; MATLAB / Simulink,0,Core Engineering,No internship,Core Engineering,4.0,Civil Engineer
Electrical,Alumni (Graduated),6.51,3,3,4,2,3,4,2,5,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas),3-4,Software Development,Software Development Internship,Software Development,4.0,DevOps Engineer
Chemical,4th year student,8.69,2,3,1,5,1,1,2,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD),3-4,Core Engineering,No internship,Core Engineering,4.0,Manufacturing Engineer
Civil,4th year student,7.37,5,5,4,2,4,3,4,4,CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; Data Analysis (Python / Excel / Pandas); MATLAB / Simulink,1-2,Software Development,Software Development Internship,Software Development,3.0,Software Developer
ECE,Alumni (Graduated),8.66,3,4,2,2,4,2,3,3,Data Analysis (Python / Excel / Pandas),1-2,Software Development,No internship,Software Development,5.0,Software Developer
Civil,Alumni (Graduated),8.53,3,4,2,3,4,4,1,3,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),1-2,Data Science / AI,Data Science / AI Internship,Data Science / AI,4.0,Data Analyst
ECE,Alumni (Graduated),8.47,5,3,3,2,5,3,2,3,Data Analysis (Python / Excel / Pandas); Embedded systems / microcontrollers; Machine Learning / Deep Learning,5+,Data Science / AI,No internship,Data Science / AI,3.0,Data Scientist
ECE,Alumni (Graduated),7.42,3,3,3,4,4,4,3,3,Circuit design tools; Embedded systems / microcontrollers; MATLAB / Simulink; Machine Learning / Deep Learning,5+,Robotics / Embedded Systems,Electronics / Embedded Internship,Embedded Systems / Electronics,4.0,Embedded Systems Engineer
CSE,4th year student,8.3,5,3,4,5,4,5,2,2,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,5+,Data Science / AI,Data Science / AI Internship,Data Science / AI,5.0,Data Scientist
Metallurgy,Alumni (Graduated),6.99,2,3,2,2,1,1,2,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers; MATLAB / Simulink; Machine Learning / Deep Learning,1-2,Core Engineering,No internship,Core Engineering,2.0,Mechanical Design Engineer
AI,Alumni (Graduated),7.4,2,3,2,4,3,1,3,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; MATLAB / Simulink,5+,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Mechanical Design Engineer
CSE,4th year student,8.87,1,4,3,1,4,3,4,3,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),5+,Data Science / AI,Software Development Internship,Software Development,3.0,Software Developer
Metallurgy,Alumni (Graduated),6.59,1,3,1,3,2,2,1,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Embedded systems / microcontrollers; Machine Learning / Deep Learning,5+,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Manufacturing Engineer
Civil,Alumni (Graduated),7.26,3,1,1,4,1,1,2,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD),1-2,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Civil Engineer
AI,Alumni (Graduated),8.03,3,5,3,2,4,3,4,5,CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),3-4,Software Development,Software Development Internship,Software Development,4.0,Software Developer
ECE,Alumni (Graduated),8.87,5,3,2,3,4,3,2,3,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,5+,Data Science / AI,Data Science / AI Internship,Data Science / AI,5.0,Machine Learning Engineer
Mechanical,4th year student,8.06,2,2,1,3,1,2,2,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD),5+,Core Engineering,Core Engineering Internship,Core Engineering,2.0,Civil Engineer
Civil,Alumni (Graduated),6.82,4,4,1,3,4,1,2,4,Circuit design tools; Embedded systems / microcontrollers; MATLAB / Simulink,0,Robotics / Embedded Systems,Electronics / Embedded Internship,Embedded Systems / Electronics,4.0,Embedded Systems Engineer
Mechanical,Alumni (Graduated),7.34,3,4,1,2,1,1,1,3,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; MATLAB / Simulink,3-4,Software Development,No internship,Core Engineering,4.0,Mechanical Design Engineer
AI,Alumni (Graduated),8.11,2,4,3,1,5,3,4,5,Data Analysis (Python / Excel / Pandas); Machine Learning / Deep Learning,5+,Software Development,Software Development Internship,Software Development,3.0,Software Developer
Mechanical,4th year student,9.1,1,3,1,3,1,1,2,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers; MATLAB / Simulink,1-2,Core Engineering,Core Engineering Internship,Data Science / AI,5.0,Mechanical Design Engineer
Electrical,Alumni (Graduated),7.18,3,2,3,1,5,2,4,5,CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers; Machine Learning / Deep Learning,3-4,Software Development,Software Development Internship,Software Development,4.0,DevOps Engineer
ECE,Alumni (Graduated),8.95,3,1,3,1,2,3,4,4,Data Analysis (Python / Excel / Pandas); MATLAB / Simulink,3-4,Robotics / Embedded Systems,Software Development Internship,Software Development,3.0,DevOps Engineer
ECE,4th year student,8.27,3,1,2,2,3,4,4,1,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); MATLAB / Simulink,3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,5.0,Data Analyst
AI,4th year student,8.07,5,5,2,2,3,5,3,2,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,5+,Data Science / AI,Data Science / AI Internship,Data Science / AI,4.0,Data Scientist
Mechanical,Alumni (Graduated),7.62,2,1,2,1,2,1,1,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Machine Learning / Deep Learning,3-4,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Civil Engineer
AI,4th year student,8.57,2,5,5,3,5,3,5,3,CAD tools (SolidWorks / CATIA / AutoCAD),1-2,Software Development,No internship,Embedded Systems / Electronics,,Software Developer
Metallurgy,4th year student,7.68,2,1,2,2,2,2,1,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD),5+,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Civil Engineer
AI,Alumni (Graduated),,4,2,3,3,1,4,3,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),3-4,Data Science / AI,Electronics / Embedded Internship,Core Engineering,1.0,Data Analyst
Metallurgy,Alumni (Graduated),6.42,3,2,2,4,2,2,2,3,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); MATLAB / Simulink,3-4,Mixed domains,Core Engineering Internship,Core Engineering,5.0,Mechanical Design Engineer
AI,Alumni (Graduated),8.03,4,3,4,1,4,5,5,3,Data Analysis (Python / Excel / Pandas),3-4,Mixed domains,Electronics / Embedded Internship,Software Development,4.0,Software Developer
Mechanical,Alumni (Graduated),6.44,2,2,1,5,1,1,1,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Visualization (PowerBI / Tableau); MATLAB / Simulink,3-4,Core Engineering,Core Engineering Internship,Software Development,2.0,Civil Engineer
ECE,4th year student,9.51,5,4,4,2,4,5,4,5,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas),5+,Software Development,Software Development Internship,Software Development,5.0,DevOps Engineer
CSE,4th year student,7.3,5,3,3,3,4,4,3,4,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); MATLAB / Simulink; Machine Learning / Deep Learning,5+,Mixed domains,Data Science / AI Internship,Data Science / AI,3.0,Data Scientist
ECE,Alumni (Graduated),7.76,4,5,3,2,5,5,4,3,CAD tools (SolidWorks / CATIA / AutoCAD); Embedded systems / microcontrollers,5+,Software Development,Software Development Internship,Software Development,4.0,Software Developer
AI,4th year student,7.79,5,3,2,2,3,4,4,4,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas); MATLAB / Simulink,1-2,Software Development,Software Development Internship,Consulting / Management,3.0,DevOps Engineer
CSE,4th year student,7.68,5,3,3,2,4,5,3,1,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,1-2,Data Science / AI,Data Science / AI Internship,Data Science / AI,2.0,Data Analyst
ECE,Alumni (Graduated),6.48,3,2,4,1,3,4,2,1,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); MATLAB / Simulink,5+,Data Science / AI,Data Science / AI Internship,Data Science / AI,4.0,Data Analyst
CSE,4th year student,7.11,3,4,3,1,3,4,4,5,Data Analysis (Python / Excel / Pandas),3-4,Core Engineering,Software Development Internship,Software Development,3.0,DevOps Engineer
ECE,4th year student,8.41,5,3,4,1,3,2,3,4,Data Analysis (Python / Excel / Pandas),5+,Robotics / Embedded Systems,Data Science / AI Internship,Software Development,2.0,DevOps Engineer
Chemical,Alumni (Graduated),7.12,2,3,2,3,1,2,1,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Machine Learning / Deep Learning,3-4,Core Engineering,Core Engineering Internship,Core Engineering,4.0,Manufacturing Engineer
CSE,4th year student,6.82,3,2,5,1,3,3,3,4,CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas),5+,Software Development,No internship,Software Development,4.0,DevOps Engineer
Electrical,Alumni (Graduated),8.58,3,3,3,5,2,5,3,5,ANSYS / Simulation tools; Circuit design tools; Embedded systems / microcontrollers; MATLAB / Simulink,3-4,Core Engineering,Software Development Internship,Embedded Systems / Electronics,4.0,Embedded Systems Engineer
AI,4th year student,6.98,2,2,3,1,2,3,3,4,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas); Machine Learning / Deep Learning,5+,Software Development,Software Development Internship,Software Development,4.0,DevOps Engineer
Mechanical,Alumni (Graduated),7.34,2,2,1,1,1,1,2,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); MATLAB / Simulink; Machine Learning / Deep Learning,5+,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Civil Engineer
CSE,4th year student,7.63,4,5,4,1,4,4,5,3,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas),5+,Software Development,No internship,Software Development,3.0,Software Developer
Electrical,4th year student,6.04,3,3,4,1,2,3,3,5,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers; Machine Learning / Deep Learning,3-4,Robotics / Embedded Systems,Software Development Internship,Software Development,2.0,DevOps Engineer
Chemical,Alumni (Graduated),7.11,1,2,1,3,2,2,1,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; Data Visualization (PowerBI / Tableau),3-4,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Manufacturing Engineer
CSE,Alumni (Graduated),6.58,2,1,4,1,2,4,4,4,Data Analysis (Python / Excel / Pandas); MATLAB / Simulink,3-4,Software Development,Software Development Internship,Software Development,4.0,DevOps Engineer
ECE,Alumni (Graduated),5.89,5,4,3,2,3,2,4,5,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas); Machine Learning / Deep Learning,5+,Software Development,No internship,Core Engineering,5.0,DevOps Engineer
Electrical,4th year student,7.84,2,3,3,3,2,2,4,4,Circuit design tools; Embedded systems / microcontrollers; MATLAB / Simulink; Machine Learning / Deep Learning,3-4,Robotics / Embedded Systems,Electronics / Embedded Internship,Embedded Systems / Electronics,4.0,Embedded Systems Engineer
AI,4th year student,8.81,5,4,4,3,2,4,3,5,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers; Machine Learning / Deep Learning,5+,Data Science / AI,Core Engineering Internship,Data Science / AI,4.0,Data Scientist
Chemical,Alumni (Graduated),6.69,1,1,1,3,2,1,2,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); MATLAB / Simulink,1-2,Core Engineering,Electronics / Embedded Internship,Core Engineering,4.0,Manufacturing Engineer
Electrical,4th year student,4.9,5,1,3,3,2,5,3,1,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers,3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,3.0,Data Analyst
Metallurgy,4th year student,7.87,4,1,2,3,4,4,2,2,Circuit design tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),3-4,Data Science / AI,Data Science / AI Internship,Core Engineering,5.0,Data Analyst
Civil,Alumni (Graduated),7.07,2,2,1,3,1,2,2,2,ANSYS / Simulation tools; Embedded systems / microcontrollers; MATLAB / Simulink,5+,Core Engineering,No internship,Core Engineering,3.0,Manufacturing Engineer
ECE,4th year student,7.09,5,3,3,2,3,5,3,4,CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,4.0,Data Scientist
ECE,4th year student,7.07,1,3,2,5,5,3,3,2,Circuit design tools; Embedded systems / microcontrollers,5+,Robotics / Embedded Systems,Electronics / Embedded Internship,Embedded Systems / Electronics,4.0,Embedded Systems Engineer
ECE,Alumni (Graduated),7.97,5,3,4,1,5,2,4,4,Data Analysis (Python / Excel / Pandas),1-2,Software Development,Software Development Internship,Consulting / Management,3.0,Software Developer
AI,Alumni (Graduated),7.9,3,4,4,1,3,3,4,5,Data Analysis (Python / Excel / Pandas); Embedded systems / microcontrollers,1-2,Software Development,Software Development Internship,Software Development,3.0,Software Developer
Civil,4th year student,8.56,2,2,1,4,2,1,4,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); MATLAB / Simulink,5+,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Mechanical Design Engineer
CSE,Alumni (Graduated),8.86,4,4,5,2,4,4,4,4,Data Analysis (Python / Excel / Pandas),5+,Software Development,Software Development Internship,Software Development,4.0,Software Developer
CSE,4th year student,8.08,5,4,4,1,4,4,5,5,CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas),5+,Software Development,Software Development Internship,Software Development,4.0,Software Developer
Mechanical,4th year student,7.44,3,2,1,2,3,1,1,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); Embedded systems / microcontrollers; MATLAB / Simulink,1-2,Core Engineering,Core Engineering Internship,Core Engineering,5.0,Mechanical Design Engineer
Metallurgy,Alumni (Graduated),7.89,2,3,1,3,1,1,3,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; Embedded systems / microcontrollers; MATLAB / Simulink,3-4,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Mechanical Design Engineer
Mechanical,Alumni (Graduated),7.13,4,2,1,4,4,4,2,2,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),5+,Data Science / AI,Electronics / Embedded Internship,Data Science / AI,4.0,Data Analyst
CSE,4th year student,7.64,2,2,2,1,3,3,5,3,ANSYS / Simulation tools; Circuit design tools; Data Analysis (Python / Excel / Pandas),3-4,Software Development,No internship,Software Development,4.0,DevOps Engineer
AI,4th year student,8.93,5,3,4,1,5,4,3,3,Data Analysis (Python / Excel / Pandas),3-4,Robotics / Embedded Systems,Software Development Internship,Software Development,4.0,Software Developer
Mechanical,Alumni (Graduated),8.05,3,2,1,3,1,2,1,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD),3-4,Core Engineering,Core Engineering Internship,Core Engineering,4.0,Civil Engineer
CSE,4th year student,7.58,3,2,4,3,4,5,3,3,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),1-2,Data Science / AI,Data Science / AI Internship,Data Science / AI,2.0,Data Analyst
Mechanical,Alumni (Graduated),7.66,2,3,2,3,2,2,1,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD),3-4,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Manufacturing Engineer
Mechanical,4th year student,6.73,1,2,2,4,1,2,2,3,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); MATLAB / Simulink,5+,Core Engineering,Core Engineering Internship,Embedded Systems / Electronics,3.0,Mechanical Design Engineer
Electrical,4th year student,7.94,3,4,3,3,4,1,3,4,Circuit design tools; Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers; MATLAB / Simulink,5+,Robotics / Embedded Systems,Electronics / Embedded Internship,Embedded Systems / Electronics,4.0,Embedded Systems Engineer
Chemical,Alumni (Graduated),8.47,3,5,3,3,4,1,4,5,ANSYS / Simulation tools; Circuit design tools; MATLAB / Simulink,5+,Robotics / Embedded Systems,Electronics / Embedded Internship,Embedded Systems / Electronics,4.0,Embedded Systems Engineer
Electrical,4th year student,7.0,3,4,1,4,3,3,4,3,CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; Embedded systems / microcontrollers; MATLAB / Simulink,3-4,Robotics / Embedded Systems,No internship,Embedded Systems / Electronics,4.0,Embedded Systems Engineer
CSE,4th year student,9.04,4,3,2,3,2,3,3,3,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),5+,Robotics / Embedded Systems,Data Science / AI Internship,Data Science / AI,2.0,Data Analyst
Electrical,4th year student,5.34,2,5,3,3,2,1,2,5,Embedded systems / microcontrollers; MATLAB / Simulink,3-4,Robotics / Embedded Systems,Electronics / Embedded Internship,Embedded Systems / Electronics,5.0,Embedded Systems Engineer
Civil,Alumni (Graduated),7.74,2,1,1,3,1,2,1,3,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Visualization (PowerBI / Tableau),0,Core Engineering,No internship,Core Engineering,3.0,Civil Engineer
Mechanical,Alumni (Graduated),8.82,3,3,1,4,1,2,2,3,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; MATLAB / Simulink,0,Core Engineering,Core Engineering Internship,Data Science / AI,3.0,Mechanical Design Engineer
Metallurgy,4th year student,6.75,1,1,1,5,2,2,1,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD),3-4,Core Engineering,Core Engineering Internship,Core Engineering,2.0,Manufacturing Engineer
